ID_Evento,Cant_Semillas,Cult_ant,Poblacion,Origen_sem,ContEnfQuí,ContMalQuí,ContPlaQuí,AcmFerEnm,AcmFerOrg,AcmFerQui,TotN,TotP,TotK,Pendiente,pH,Estructura,Prof_efectiva,Textura,Materia_Organica,RDT
1,40,Maiz,45000,La misma finca,1,1,3,0,1750,175,26.25,26.25,26.25,30,6,ATERRONADA,40,FAr,MEDIA,1875
2,22,Frijol,25200,La misma finca,11,0,5,0,2000,300,45,45,45,60.6,4,GRANULAR,45,F,MEDIA,1800
3,24,Frijol,25200,La misma finca,13,0,2,0,2400,300,71,45,25,18.6,5,GRANULAR,56,F,MEDIA,1920
4,25,Frijol,49500,Comercial,1,1,1,750,2500,400,60,60,60,32,5,PRISMATICA,60,FA,MEDIA,1750
5,25,Papa,49600,Comercial,1,1,1,600,2800,400,40,120,40,28,5,GRANULAR,40,FrL,MEDIA,2000
6,25,Frijol,29600,Comercial,1,1,1,1250,2500,600,78,156,36,33,5,GRANULAR,60,FA,MEDIA,2250
7,25,Frijol,49500,Comercial,1,1,1,2000,2500,600,90,90,90,42,5,GRANULAR,60,FA,MEDIA,1750
8,25,Frijol,59500,La misma finca,1,1,1,1000,2500,300,51,18,54,16,5,PRISMATICA,60,FA,MEDIA,1875
9,25,Frijol,49000,Otra finca,1,1,1,1500,2000,300,45,45,45,22,5,PRISMATICA,35,FA,MEDIA,2000
10,25,Frijol,97600,La misma finca,1,1,1,0,1000,300,51,18,54,20,5,PRISMATICA,30,FA,MEDIA,2000
11,25,Papa,39500,Comercial,1,1,1,2500,2000,400,60,60,60,30,5,GRANULAR,60,FAr,MEDIA,1250
12,30,Maiz,49300,La misma finca,1,1,1,1600,2500,400,60,60,60,38,6,GRANULAR,60,FAr,MEDIA,1750
13,25,Maiz,34000,La misma finca,1,1,1,1400,2500,400,60,60,60,28,6,PRISMATICA,60,FAr,MEDIA,1750
14,25,Frijol,49950,Otra finca,1,1,1,1500,1300,350,52.5,52.5,52.5,22,5,GRANULAR,60,FA,MEDIA,2000
15,25,Frijol,74500,La misma finca,1,1,1,1000,2000,500,65,130,30,41,5,GRANULAR,60,FAr,MEDIA,1875
16,25,Papa,98000,Comercial,1,1,1,1500,2000,400,60,60,60,29,6,PRISMATICA,60,FrL,MEDIA,1500
17,25,Frijol,49600,La misma finca,1,1,1,0,2500,400,60,60,60,12,5,GRANULAR,60,F,MEDIA,1750
18,25,Frijol,74600,Otra finca,1,1,1,1650,2500,450,45,90,90,44,5,PRISMATICA,60,FAr,MEDIA,2000
19,25,Pasto,24700,Otra finca,0,1,2,0,3000,500,75,75,75,32,5,GRANULAR,60,FAr,MEDIA,1750
